ndb,energy_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg
1314,54.0,9.53,0.24,3.43,0.2,0.0,37.0
1316,81.0,7.65,0.22,11.98,0.5,0.0,30.0
1323,900.0,0.0,100.0,0.0,0.0,0.0,0.0
2001,263.0,6.09,8.69,72.12,21.6,0.0,77.0
2002,337.0,17.6,15.9,50.02,14.6,0.0,16.0
2003,233.0,22.98,4.07,47.75,37.7,1.71,76.0
2008,237.0,23.2,3.9,49.1,11.3,0.0,83.0
2009,282.0,13.46,14.28,49.7,34.8,7.19,2867.0
2010,247.0,3.99,1.24,80.59,53.1,2.17,10.0
2011,274.0,5.97,13.0,65.53,33.9,2.38,277.0
2017,253.0,19.96,4.36,55.82,13.6,0.0,208.0
2018,345.0,15.8,14.87,52.29,39.8,0.0,88.0
2019,323.0,23.0,6.41,58.35,24.6,0.0,67.0
2020,331.0,16.55,0.73,72.73,9.0,2.43,60.0
2025,525.0,5.84,36.31,49.29,20.8,2.99,16.0
2026,341.0,10.41,1.04,79.12,15.2,6.63,73.0
2027,265.0,9.0,4.28,68.92,42.5,4.09,25.0
2028,282.0,14.14,12.89,53.99,34.9,10.34,68.0
2033,525.0,17.99,41.56,28.13,19.5,2.99,26.0
2034,307.0,9.59,7.53,65.59,11.3,1.8,27.0
2035,342.0,5.76,12.6,69.28,14.8,7.76,52.0
2036,331.0,4.88,15.22,64.06,42.6,0.0,50.0
3120,65.0,1.4,0.4,16.25,2.1,1.48,52.0
3129,56.0,0.4,0.1,15.3,1.6,0.38,0.0
3130,65.0,0.94,0.33,14.48,1.3,11.5,4.0
3131,65.0,0.94,0.33,14.48,1.3,11.5,4.0
3132,42.0,0.3,0.2,10.8,2.8,6.98,1.0
3137,70.0,0.6,0.1,18.7,2.7,10.97,2.0
3139,100.0,1.0,0.2,23.52,2.7,14.28,1.0
3140,70.0,0.3,0.2,19.0,1.1,13.0,4.0
3141,57.0,0.3,0.1,13.6,1.2,8.66,6.0
3150,37.0,0.1,0.1,10.1,1.5,0.0,2.0
3151,39.0,0.1,0.1,10.5,1.5,0.0,2.0
3152,58.0,0.2,0.2,15.6,2.1,12.96,0.0
3153,58.0,0.2,0.2,15.4,2.1,12.96,0.0
3159,44.0,0.3,0.2,11.4,2.6,7.36,0.0
3160,63.0,0.2,0.1,17.0,0.0,0.0,4.0
3161,51.0,0.5,0.2,11.8,0.8,9.49,9.0
3162,70.0,0.2,0.1,18.9,1.4,0.0,5.0
3167,51.0,0.2,0.1,12.3,0.2,11.0,4.0
3168,43.0,0.2,0.1,10.5,0.1,9.59,0.0
3171,72.0,0.2,0.1,18.1,0.1,10.58,8.0
3172,45.0,0.6,0.3,10.2,0.1,8.26,0.0
3173,43.0,0.4,0.2,10.1,0.0,0.0,3.0
3178,70.0,0.6,0.3,16.8,0.0,0.0,2.0
3179,47.0,0.1,0.1,11.7,0.1,8.46,8.0
3181,376.0,13.2,6.6,69.4,6.6,13.2,33.0
3184,402.0,6.6,4.8,83.2,6.7,26.66,66.0
3189,394.0,10.99,6.36,73.48,7.3,11.67,21.0
3190,399.0,6.67,6.67,78.07,5.2,26.66,33.0
3191,75.0,0.89,0.89,15.62,0.9,8.85,4.0
3192,76.0,0.89,0.89,16.03,0.9,8.85,4.0
3198,52.0,1.9,1.8,7.1,0.9,0.0,33.0
3199,58.0,2.2,1.5,8.0,0.0,0.0,38.0
3201,79.0,2.5,5.0,6.2,0.9,0.0,48.0
3205,402.0,10.5,7.05,74.1,7.8,11.09,0.0
3206,435.0,6.8,12.6,73.7,3.4,24.2,9.0
3214,424.0,7.6,10.0,75.4,0.2,0.0,319.0
3215,397.0,10.8,2.0,82.2,2.3,3.08,269.0
3216,407.0,7.97,9.27,72.48,5.9,24.9,259.0
3217,426.0,10.1,9.7,74.2,2.5,12.5,227.0
3225,69.0,0.2,0.2,18.4,0.3,16.98,0.0
3226,80.0,1.1,0.9,17.7,0.6,0.0,20.0
3227,65.0,0.3,0.0,17.8,0.7,10.62,7.0
3228,67.0,0.3,0.0,18.3,0.7,11.89,0.0
3236,63.0,0.3,0.0,17.2,0.6,12.0,0.0
3238,60.0,0.2,0.0,16.4,0.0,0.0,7.0
3245,85.0,1.6,2.0,16.0,0.0,11.5,0.0
3246,86.0,1.76,0.98,17.58,0.2,12.2,26.0
3265,46.0,0.1,0.2,11.34,0.1,10.9,0.0
3952,128.0,3.13,6.98,13.21,0.0,13.1,56.0
3953,66.0,1.61,3.59,6.7,0.0,6.7,29.0
3954,517.0,12.6,28.09,53.57,0.0,52.97,226.0
3960,66.0,1.45,3.37,7.39,0.0,5.0,18.0
3961,66.0,1.45,3.37,7.39,0.0,5.0,18.0
3963,68.0,1.51,3.5,7.6,0.0,1.53,24.0
3964,344.0,5.43,5.3,68.63,1.7,42.0,157.0
3980,516.0,11.7,27.0,56.5,0.0,11.5,185.0
3982,65.0,2.17,2.89,7.64,0.0,7.64,24.0
3983,66.0,1.84,3.48,6.76,0.0,6.76,31.0
3984,63.0,2.2,3.3,6.2,0.0,3.6,46.0
3985,81.0,2.6,3.9,8.88,0.0,4.2,55.0
3990,66.0,1.44,3.37,7.39,0.0,7.34,18.0
3991,66.0,1.97,3.54,6.69,0.0,6.69,20.0
3992,66.0,1.76,3.6,6.67,0.7,6.66,29.0
3993,66.0,1.4,3.54,7.19,0.0,7.19,20.0
3998,503.0,0.0,28.57,61.59,0.0,0.0,500.0
3999,514.0,11.0,27.75,55.0,0.0,55.0,154.0
4001,902.0,0.0,100.0,0.0,0.0,0.0,0.0
4002,902.0,0.0,100.0,0.0,0.0,0.0,0.0
4017,379.0,1.09,35.06,14.64,0.8,15.18,962.0
4018,250.0,0.65,21.6,14.78,0.0,10.02,653.0
4020,222.0,0.58,11.52,31.22,1.5,16.86,838.0
4021,102.0,0.39,6.68,9.99,0.0,9.16,891.0
4027,232.0,0.3,19.2,16.0,0.0,6.0,497.0
4028,97.0,2.1,5.1,11.1,0.0,0.0,504.0
4029,482.0,0.1,47.7,15.8,0.0,6.0,353.0
4030,389.0,0.9,34.0,22.4,0.4,15.18,1000.0
4042,884.0,0.0,100.0,0.0,0.0,0.0,0.0
4044,884.0,0.0,100.0,0.0,0.0,0.0,0.0
4047,892.0,0.0,99.06,0.0,0.0,0.0,0.0
4053,884.0,0.0,100.0,0.0,0.0,0.0,2.0
4120,419.0,0.87,39.07,18.79,2.4,17.43,661.0
4128,349.0,0.23,37.98,1.52,0.0,0.0,584.0
4133,631.0,0.1,70.2,3.4,0.0,0.0,658.0
4135,449.0,0.0,50.1,2.5,0.0,2.5,1.0
4145,717.0,1.1,79.4,2.7,0.0,0.0,30.0
4146,631.0,0.1,70.2,3.4,0.0,0.0,658.0
4367,132.0,0.2,0.27,32.14,2.2,16.45,853.0
4501,884.0,0.0,100.0,0.0,0.0,0.0,0.0
4513,862.0,0.0,100.0,0.0,0.0,0.0,0.0
4514,884.0,0.0,100.0,0.0,0.0,0.0,0.0
4515,884.0,0.0,100.0,0.0,0.0,0.0,0.0
4516,884.0,0.0,100.0,0.0,0.0,0.0,0.0
4531,763.0,0.0,100.0,0.0,0.0,0.0,0.0
4532,884.0,0.0,100.0,0.0,0.0,0.0,0.0
4534,884.0,0.0,100.0,0.0,0.0,0.0,0.0
4536,884.0,0.0,100.0,0.0,0.0,0.0,0.0
4679,792.0,0.26,78.69,20.69,0.0,0.0,59.0
4683,606.0,0.07,68.29,0.59,0.0,0.0,536.0
4684,730.0,0.41,80.32,1.39,0.0,0.0,714.0
4685,884.0,0.0,100.0,0.0,0.0,0.0,0.0
4690,339.0,0.51,37.77,0.66,0.0,0.0,589.0
