cluster_id,sub_leaf_label,product_description,branded_food_category,best_esha_description,l1_tree_label,l1_modal_bfc,ingredients_top5,ingredients_top5_cats,has_cocoa,has_milk,has_egg,has_cream,has_batter,has_hot_dog,has_almond,has_lime,has_lemon,has_chipotle,has_pumpkin,what_should_it_be
662,other,"CHOCOLATE SOYMILK, CHOCOLATE",Plant Based Milk,"Soy Milk, chocolate, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Soymilk | Cane Sugar | Cocoa | Vitamin and Mineral Blend | Sea Salt,dairy | sweetener | produce | vitamin | mineral,Y,Y,,,,,,,,,,milk > chocolate
662,other,"LIGHT ALMONDMILK, ORIGINAL",Plant Based Milk,"Almond Milk, plain","Almond Milk, plain",Plant Based Milk,Almondmilk | Cane Sugar | Sea Salt | Locust Bean Gum | Sunflower Lecithin,dairy | sweetener | mineral | thickener | emulsifier,,Y,,,,,Y,,,,,almond_milk > original
662,other,"UNSWEET COCONUTMILK, UNSWEET",Plant Based Milk,"Cream Substitute, coconut milk, original","Almond Milk, plain",Plant Based Milk,Coconutmilk | Vitamin and Mineral Blend | Dipotassium Phosphate | Sea Salt | Sunflower Lecithin,dairy | vitamin | stabilizer | mineral | emulsifier,,Y,,Y,,,,,,,,
662,other,"ORIGINAL PROTEIN+FIBER ALMONDMILK, ORIGINAL",Plant Based Milk,"Shake, nutrition, Ensure, homemade vanilla, ready to drink","Almond Milk, plain",Plant Based Milk,Almondmilk | Cane Sugar | Corn Dextrin | Pea Protein | Locust Bean Gum,dairy | sweetener | thickener | protein | thickener,,Y,,,,,Y,,,,,almond_milk > original
662,other,"UNSWEETENED ORGANIC SOYMILK, UNSWEETENED",Plant Based Milk,"Soy Milk, all flavors, unsweetened, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Organic Soymilk | Vitamin & Mineral Blend | Sea Salt | Natural Flavor | Gellan Gum,dairy | vitamin | mineral | flavor_enhan | thickener,,Y,,,,,,,,,,
662,other,"ALMOND COCONUT BLEND, ORIGINAL",Plant Based Milk,,"Almond Milk, plain",Plant Based Milk,Almondmilk | Coconutmilk | Cane Sugar | Sea Salt | Natural Flavor,dairy | dairy | sweetener | mineral | flavor_enhan,,Y,,Y,,,Y,,,,,
662,other,"ALMONDMILK & COCONUTMILK BLEND, UNSWEETENED",Plant Based Milk,"Almond Milk, Almond Breeze, original, unsweetened","Almond Milk, plain",Plant Based Milk,Almondmilk | Coconutmilk | Vitamin and Mineral Blend | Sea Salt | Natural Flavor,dairy | dairy | vitamin | mineral | flavor_enhan,,Y,,Y,,,Y,,,,,almond_milk > unsweetened
662,other,"CHOCOLATE SOYMILK, CHOCOLATE",Plant Based Milk,"Soy Milk, chocolate, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Soymilk | Cane Sugar | Cocoa | Vitamin and Mineral Blend | Sea Salt,dairy | sweetener | produce | vitamin | mineral,Y,Y,,,,,,,,,,milk > chocolate
662,other,"CREAMY CASHEWMILK, ORIGINAL",Plant Based Milk,,"Almond Milk, plain",Plant Based Milk,Cashewmilk | Cane Sugar | Sea Salt | Almond Butter | Locust Bean Gum,dairy | sweetener | mineral | protein | thickener,,Y,,,,,Y,,,,,
662,other,"CREAMY CASHEWMILK, UNSWEETENED, CASHEW",Plant Based Milk,,"Almond Milk, plain",Plant Based Milk,Cashewmilk | Sea Salt | Locust Bean Gum | Almond Butter | Sunflower Lecithin,dairy | mineral | thickener | protein | emulsifier,,Y,,,,,Y,,,,,
662,other,"CHOCOLATE CREAMY CASHEWMILK WITH A TOUCH OF ALMOND, CHOCOLATE",Plant Based Milk,,"Almond Milk, plain",Plant Based Milk,Cashewmilk | Cane Sugar | Almonds | Vitamin and Mineral Blend | Cocoa,dairy | sweetener | produce | vitamin | produce,Y,Y,,,,,Y,,,,,almond_milk > chocolate
