fdc_id,title,stripped_flavors,kept_flavors,ingredients_snippet
2650722,"Pepperidge Farm Lemon Cookies, 6 oz. Bag",lemon,,"Made from: Enriched Wheat Flour (Flour, Niacin, Iron, Thiamine, Riboflavin, Folic Acid), Palm Oil, Sugar, Cornstarch, Co"
751996,KELLOGG NUTRI-GRAIN COOKIES APPLE CINNAMON 1.4OZ,apple,cinnamon,"Whole Grain Oats, Sugar, Canola Oil, Rice Flour, Cornstarch, Dried Apples, Invert Cane Syrup, Contains 2% or less of Nat"
762072,NABISCO OREO COOKIES LEMON 1X15.25 OZ,lemon,,"Ingredients: Sugar, Unbleached Enriched Flour (Wheat Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),"
1459258,NABISCO OREO COOKIES WATERMELON 1X15.25 OZ,watermelon,,"Ingredients: Sugar, Unbleached Enriched Flour (Wheat Flour, Niacin, Iron, Thiamine Mononitrate Vitamin B1, Riboflavin, F"
1460681,NABISCO OREO COOKIES LEMON 1X18.4 OZ,lemon,,"Ingredients: Sugar, Unbleached Enriched Flour (Wheat Flour, Niacin, Iron, Thiamine Mononitrate Vitamin B1, Riboflavin, F"
1457363,OREO COOKIES WATERMELON 1X12.2 OZ,watermelon,,"Ingredients: Sugar, Unbleached Enriched Flour (Wheat Flour, Niacin, Iron, Thiamine Mononitrate Vitamin B1, Riboflavin, F"
1459666,OREO COOKIES CARAMEL APPLE 1X12.200 OZ,"caramel,apple",,"Ingredients: Unbleached Enriched Flour (Wheat Flour, Niacin, Iron, Thiamine Mononitrate Vitamin B1, Riboflavin, Folic Ac"
763320,OREO THINS COOKIES COCONUT 1X10.1 OZ,coconut,,"Ingredients: Sugar, Unbleached Enriched Flour (Wheat Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),"
1458492,OREO COOKIES-SINGLE SERVE LEMON 1X1.020 OZ,lemon,,"Ingredients: Sugar, Unbleached Enriched Flour (Wheat Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),"
1747659,STRAWBERRY FROSTING FLAVORED FROSTED SOFT SUGAR COOKIES WITH,strawberry,,"Sugar, Enriched Bleached Flour (Wheat Flour, Niacin, Iron, Thiamine, Riboflavin, Folic Acid) Margarine (Palm Oil, Water,"
1863284,"GIRL SCOUTS, COOKIES, CARAMEL DELITES, CARAMEL DELITES",caramel,coconut,"Sugar, Enriched Flour (Wheat Flour, Niacin, Iron, Thiamine, Riboflavin, Folic Acid), Vegetable Oil (Palm Kernel Palm, Hy"
1929472,"FRUCTOSE SWEETENED COOKIES, COCONUT",coconut,,"Enriched Flour (Wheat Flour, Niacin, Iron, Thiamine, Riboflavin, Folic Acid), Crystalline Fructose, Vegetable Oil (Canol"
1802074,"FLAVORED COOKIES, COCONUT",coconut,,"Wheat Flour, Sugar, Vegetable Shortening (May Contain One or More of the Following Partially Hydrogenated Fats: Soybeans"
2025266,"LANCE, QUICK STARTS, BREAKFAST BISCUIT SANDWICHES, MAPLE FRE",maple,,"Whole Wheat Flour, Sugar, Vegetable Oil (Contains One or More of the Following: Palm Oil, Soybean Oil, Canola Oil, Corn "
2631277,"VANILLA AND LIME LADY'S FINGER COOKIES, VANILLA AND LIME",lime,vanilla,"Unbleached Enriched Flour [Wheat Flour, Folic Acid, Iron, Thiamine (Vitamin B1), Riboflavin (Vitamin B2) And Niacin (Vit"
2315951,"MINI APPLE CRISP CRUNCH COOKIES, APPLE CRISP, CRUNCH",apple,,"Whole Grain Oats, Unbleached Unbromated Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine, Riboflavi"
2489573,"JELLY BEANS, SPOILED MILK, COCONUT, DEAD FISH, STRAWBERRY BA","strawberry,caramel","peach,banana,lime,pear,coconut,berry,chocolate,buttered_popcorn,toothpaste,barf,booger,dead_fish,rotten_egg,canned_dog_food,moldy_cheese,stinky_socks,lawn_clippings,tutti_frutti,spoiled_milk","Sugar, Corn Syrup, Modified Food Starch, Contains 2% or less of the Following: Peach Puree Concentrate, Banana Puree, Li"
2507780,"ORANGE ENERGY CHEWS, ORANGE",orange,,"Organic Tapioca Syrup, Dried Cane Syrup, Maltodextrin, Pectin, Citric Acid, Potassium Citrate, Green Tea Extract (Caffei"
2659917,"ORANGE ENERGY CHEWS, ORANGE",orange,,"Tapioca Syrup*, Cane Sugar*, Maltodextrin, Pectin, Citric Acid, Potassium Citrate, Green Tea Extract (Caffeine), Natural"
1875851,"GRACE, ANIMAL CRACKERS, CHOCOLATE, CHOCOLATE",chocolate,,"Enriched Wheat Flour (Ferrous Fumarate, Zinc, Niacinamide, Thiamine, Riboflavin and Folic Acid), Frosted Cover (25.5%) ("
1874530,"GRACE, ANIMAL EXTRA ICED CRACKERS, VANILLA & CHOCOLATE, VANI",chocolate,vanilla,"Enriched Wheat Flour (Ferrous Fumarate, Zinc, Oxide, Niacinamide, Thiamine, Riboflavin and Folic Acid), Frosted Cover (2"
2046658,"CINNAMON BUN SWIRL DRIZZLED CRISPS SNACK, CINNAMON BUN SWIRL",cinnamon,,"Ingredients: Crisps (Wheat Flour, Pea Fiber, Tapioca Starch, Soluble Corn Fiber. Pea Protein Isolate, Inulin, Yogurt Pow"
2131247,CINNAMON CRISPS,cinnamon,,"Enriched Bleached Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine, Riboflavin and Folic Acid), Water, Ve"
2591968,"APPLE CINNAMON PHYLLO CRISPS, APPLE CINNAMON",apple,cinnamon,"Wheat Flour, Apples, Canola Oil, Dextrose, Sugar, Pumpkin Seeds, Sunflower Seeds, Oats, Butter, Cornstarch, Honey, Cinna"
1966634,"CINNAMON APPLE WALNUT CRISPS, CINNAMON APPLE",apple,"cinnamon,walnut","Corn Syrup, Sugar, Walnuts, Butter, Flavor, Baking Soda, Cinnamon, Cream of Tartar, Salt."
2146283,"LEMON AND BLUEBERRY HANDCRAFTED ASSORTMENT SUMMER SWEETS, LE",lemon,blueberry,"Enriched Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine, Riboflavin, Folic Acid), Sugar, Eggs, Bu"
2064418,SQUEEZE&GO,apple,,"Apples, Water, Vitamin C, (Vitamin C)."
2388776,"MINI SNACKS WITH SALT AND LEMON, WITH SALT AND LEMON",lemon,salt,"Wheat Flour, Cornstarch, Palmitolein Oil, Salt, Citric Acid, Natural Flavoring."
1774105,"BUTTERFLY PASTRIES, BISCOTTI, CINAMMON, CINAMMON",cinnamon,,"Enriched Unbleached Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine, Riboflavin, Folic Acid), Sugar, Egg"
1770929,"BUTTERFLY PASTRIES, ORANGE BISCOTTI",orange,,"Enriched Unbleached Flour (Wheat Flour, Malted Barley Flour, Niacin,Iron, Thiamine, Riboflavin, Folic Acid), Butter, Egg"
2056115,"COUNTRY FRESH, SAVORY FRUIT & CHEESE BITES",apple,,"Apples with Calcium Ascorbate, Grape, Colby Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzyme, Annatto (Vegetable C"
1866010,APPLE CARAMEL BITES,apple,caramel,"Apples (Calcium Ascorbate [Added to Maintain Freshness and Color]), Low Fat Caramel Dip (High Fructose Corn Syrup, Corn "
2056113,APPLE & CHEESE BITES WITH CRACKERS,apple,,"Carrots, Apples with Calcium Ascorbate, Colby Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzyme, Annatto (Vegetable"
1885512,"SNACK SENSATIONS, FRUIT & SWISS BITES, PEANUT BUTTER, PEANUT",apple,peanut_butter,"Apples with Calcium Ascorbate, Grape, Swiss Cheese (Pasteurized Milk, Cheese Cultures, Salt, Enzymes), Peanut Butter, (R"
2298634,FRUIT & CHEESE BITES,apple,,"Apples (Calcium Ascorbate), Grapes, Colby Jack Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes, Annatto)."
2471965,"APPLE WEDGES, MONTEREY JACK CHEESE, CRANBERRIES & CASHEWS SA",apple,"cranberry,cashew","Apples: Red Apples, Calcium Ascorbate (Added to Maintain Color); Cheese: Monterey Jack Cheese (Pasteurized Milk, Cheese "
2471229,"APPLE WEDGES, MONTEREY JACK CHEESE, CRANBERRIES & RAISINS SA",apple,"monterey_jack,cranberry,raisin","Apples: Red Apples, Calcium Ascorbate (Added to Maintain Color); Cheese: Monterey Jack Cheese (Pasteurized Milk, Cheese "
2388481,"CHEESE, CRACKERS, AND FRUIT SNACK TRAY, COLBY JACK CHEESE, G",apple,,"Colby Cheese (Pasteurized Milk, Cheese Cultures, Salt, Enzymes, Annatto (Color]), Apples (Apples, Calcium Ascorbate [A B"
