fndds_code,protein_g,fat_g,carbs_g,fiber_g,sugar_g,energy_kcal,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_mcg,sat_fat_g,trans_fat_g,mufa_g,pufa_g,dha_g,epa_g,ala_g,linoleic_g,cholesterol_mg
58104800,11.16,15.32,32.15,3.3,1.78,309.0,63.0,0.207,0.216,1.998,0.0,0.114,37.0,0.35,0.0,0.1,0.79,6.0,274.0,1.64,40.0,304.0,132.0,632.0,1.65,0.089,0.0,15.5,6.59,0.0,3.931,2.691,0.0,0.001,0.271,2.407,27.0
58104825,12.17,12.46,31.61,3.3,1.6,287.0,17.0,0.214,0.184,3.174,0.0,0.192,36.0,0.66,0.0,0.0,0.73,5.9,130.0,2.19,38.0,252.0,180.0,490.0,2.27,0.105,0.0,16.4,4.218,0.0,4.18,2.581,0.0,0.001,0.246,2.318,27.0
58104835,12.53,10.41,31.61,3.3,1.6,269.0,18.0,0.222,0.185,3.703,0.0,0.25,35.0,0.16,0.0,0.0,0.75,6.4,127.0,1.81,40.0,258.0,178.0,491.0,1.18,0.099,0.0,17.5,3.262,0.0,3.216,2.805,0.001,0.001,0.245,2.521,34.0
58104900,9.9,13.56,29.25,2.0,2.29,281.0,55.0,0.333,0.3,3.016,0.0,0.076,71.0,0.3,0.0,0.8,1.25,9.1,101.0,2.71,18.0,192.0,137.0,555.0,0.84,0.067,0.0,24.4,3.685,0.0,4.61,3.912,0.0,0.0,0.349,3.435,129.0
58104990,11.7,11.02,17.99,1.5,2.44,219.0,21.0,0.197,0.2,3.767,0.0,0.202,41.0,0.51,23.9,0.0,1.3,9.2,54.0,1.73,18.0,137.0,190.0,455.0,1.74,0.076,0.0,16.1,2.678,0.0,4.184,3.006,0.0,0.0,0.318,2.665,32.0
58105000,11.33,9.8,17.99,1.5,2.44,206.0,21.0,0.195,0.174,3.973,0.0,0.165,41.0,0.12,23.9,0.0,1.35,9.0,55.0,1.47,18.0,148.0,188.0,451.0,0.73,0.069,0.0,14.6,2.137,0.0,3.63,3.058,0.0,0.0,0.324,2.722,35.0
58105050,12.07,12.24,17.99,1.5,2.44,231.0,21.0,0.199,0.225,3.561,0.0,0.239,40.0,0.91,23.9,0.0,1.25,9.5,53.0,2.0,18.0,126.0,193.0,459.0,2.74,0.082,0.0,17.5,3.219,0.0,4.739,2.955,0.0,0.0,0.312,2.608,29.0
58105060,8.33,8.92,18.35,1.5,2.44,189.0,42.0,0.18,0.122,2.255,0.0,0.15,44.0,0.38,23.9,0.0,1.85,9.7,72.0,1.32,19.0,171.0,145.0,456.0,0.61,0.121,0.0,18.9,1.931,0.0,3.104,3.085,0.028,0.027,0.333,2.672,51.0
58105075,3.22,7.84,20.43,2.0,3.7,166.0,38.0,0.188,0.145,1.773,0.0,0.157,47.0,0.0,47.8,0.0,1.44,10.4,55.0,1.32,14.0,82.0,160.0,343.0,0.28,0.064,0.0,7.1,1.658,0.0,2.781,2.789,0.0,0.0,0.316,2.471,0.0
58105100,11.72,13.25,22.39,2.9,1.2,256.0,89.0,0.042,0.127,0.483,0.0,0.149,3.0,0.45,0.0,1.2,0.44,1.7,325.0,0.56,36.0,271.0,120.0,400.0,1.87,0.037,0.0,15.0,6.479,0.0,3.411,1.555,0.0,0.006,0.098,1.393,32.0
